epoch,train_loss,train_acc,val_loss,val_acc,train_time_s,val_time_s,device
1,2.419590,0.441386,1.184923,0.694535,77.799,17.132,cuda
2,1.148217,0.704818,0.910848,0.754535,42.294,12.268,cuda
3,0.780260,0.796475,0.828589,0.773465,41.090,12.177,cuda
4,0.530037,0.862785,0.804149,0.779762,41.737,11.472,cuda
5,0.343010,0.917056,0.825394,0.778455,42.215,12.258,cuda
6,0.213803,0.951578,0.853915,0.776871,40.705,12.221,cuda
7,0.132427,0.973888,0.891959,0.773030,42.057,11.380,cuda
8,0.085913,0.984911,0.928670,0.771723,42.191,11.289,cuda
9,0.060290,0.989677,0.972494,0.770891,42.007,12.636,cuda
10,0.045194,0.992660,1.000092,0.768713,41.161,12.289,cuda
11,0.041513,0.992132,1.019417,0.773584,42.211,11.560,cuda
12,0.035804,0.992964,1.057971,0.769307,42.441,12.696,cuda
13,0.032046,0.993597,1.066684,0.769703,41.022,12.286,cuda
14,0.030698,0.993505,1.098537,0.767248,41.853,12.468,cuda
15,0.028644,0.993769,1.096399,0.772198,44.429,12.348,cuda
16,0.026530,0.994073,1.128150,0.768594,43.730,12.654,cuda
17,0.027036,0.993518,1.142415,0.769267,42.131,13.096,cuda
18,0.024679,0.994073,1.156207,0.767881,43.205,12.860,cuda
19,0.022711,0.994667,1.164694,0.769109,44.394,12.185,cuda
20,0.022195,0.994310,1.188777,0.767406,44.524,11.809,cuda
