epoch,train_loss,train_acc,val_loss,val_acc,train_time_s,val_time_s,device
1,2.644122,0.537901,1.949562,0.753307,70.990,10.489,cuda
2,2.060551,0.714020,1.823456,0.790851,41.043,7.950,cuda
3,1.907498,0.762997,1.760471,0.812119,40.144,7.829,cuda
4,1.802769,0.796132,1.738243,0.815129,40.647,7.786,cuda
5,1.732624,0.819525,1.731044,0.816079,40.020,7.863,cuda
6,1.672423,0.841439,1.711161,0.825941,40.772,7.793,cuda
7,1.624028,0.857927,1.705972,0.824198,40.310,7.933,cuda
8,1.579047,0.873320,1.698470,0.823762,40.834,7.219,cuda
9,1.544389,0.887208,1.706075,0.822653,41.098,7.828,cuda
10,1.513051,0.897703,1.695006,0.824792,40.832,7.196,cuda
11,1.489464,0.906178,1.684378,0.828515,41.123,7.884,cuda
12,1.468733,0.914007,1.691619,0.827129,40.698,7.181,cuda
13,1.445924,0.920224,1.696661,0.824871,40.890,7.843,cuda
14,1.426068,0.929333,1.681542,0.829782,40.811,7.160,cuda
15,1.416649,0.931155,1.689355,0.828950,40.790,7.965,cuda
16,1.402989,0.934931,1.680106,0.832554,40.265,7.815,cuda
17,1.392450,0.939155,1.688997,0.826416,41.045,7.888,cuda
18,1.382641,0.942099,1.678607,0.829584,40.360,7.813,cuda
19,1.369898,0.946112,1.681783,0.827881,40.677,7.777,cuda
20,1.363587,0.947591,1.676570,0.830455,40.196,7.888,cuda
