epoch,train_loss,train_acc,val_loss,val_acc,train_time_s,val_time_s,device
1,2.643487,0.538178,1.949429,0.752040,70.738,10.150,cuda
2,2.061892,0.713228,1.819113,0.791525,40.891,7.621,cuda
3,1.905880,0.764383,1.761311,0.810139,40.866,7.673,cuda
4,1.804721,0.796172,1.742489,0.813941,40.651,7.640,cuda
5,1.730825,0.820079,1.726386,0.816990,40.904,7.642,cuda
6,1.672242,0.842112,1.706475,0.825030,40.697,7.610,cuda
7,1.622826,0.859274,1.706072,0.824634,40.724,7.677,cuda
8,1.581814,0.872370,1.698915,0.825624,40.786,7.701,cuda
9,1.543109,0.886073,1.706819,0.821465,40.916,7.757,cuda
10,1.514032,0.897149,1.688511,0.827485,40.523,7.596,cuda
11,1.487740,0.905980,1.683855,0.829545,40.836,7.663,cuda
12,1.467841,0.913228,1.699063,0.824634,40.657,7.673,cuda
13,1.449585,0.919340,1.681611,0.827921,40.877,7.685,cuda
14,1.425632,0.927947,1.681448,0.829545,40.647,7.669,cuda
15,1.416534,0.932238,1.680927,0.830455,40.994,7.607,cuda
16,1.401600,0.935749,1.688199,0.829426,40.404,7.627,cuda
17,1.392845,0.938073,1.681568,0.829861,40.662,7.680,cuda
18,1.382970,0.941690,1.677742,0.831525,40.567,7.596,cuda
19,1.371379,0.945096,1.673965,0.831089,40.837,7.675,cuda
20,1.363478,0.947894,1.666164,0.830178,41.128,7.657,cuda
