epoch,train_loss,train_acc,val_loss,val_acc,train_time_s,val_time_s,device
1,1.890075,0.536436,0.921348,0.749386,71.634,11.788,cuda
2,1.092250,0.712026,0.765619,0.787327,40.485,7.711,cuda
3,0.886852,0.760396,0.692252,0.806495,40.249,7.680,cuda
4,0.752696,0.792409,0.685697,0.812752,41.642,8.246,cuda
5,0.650008,0.815446,0.672038,0.814376,43.149,8.904,cuda
6,0.577075,0.835287,0.680395,0.815089,43.236,8.695,cuda
7,0.506638,0.855142,0.672951,0.819287,41.449,7.990,cuda
8,0.463814,0.864726,0.695207,0.816356,41.167,7.912,cuda
9,0.413493,0.877743,0.714026,0.812238,41.520,8.114,cuda
10,0.373216,0.889307,0.698224,0.820317,40.970,8.292,cuda
11,0.346478,0.896396,0.720472,0.818495,41.686,8.241,cuda
12,0.321254,0.904937,0.745776,0.811050,40.141,7.736,cuda
13,0.299079,0.910046,0.757097,0.812871,41.051,8.637,cuda
14,0.274048,0.916277,0.765773,0.814851,40.367,7.674,cuda
15,0.267552,0.917914,0.789916,0.812990,40.170,7.631,cuda
16,0.246729,0.924554,0.784470,0.814535,40.540,7.635,cuda
17,0.241191,0.926059,0.786261,0.812594,40.170,7.650,cuda
18,0.229150,0.930152,0.796372,0.816356,40.324,7.634,cuda
19,0.218149,0.933980,0.788730,0.813465,40.290,7.670,cuda
20,0.211664,0.935657,0.801549,0.816554,40.319,7.589,cuda
