epoch,train_loss,train_acc,val_loss,val_acc,train_time_s,val_time_s,device
1,1.674472,0.576554,1.031893,0.718297,77.033,14.322,cuda
2,1.017371,0.726812,0.940730,0.741545,44.030,12.702,cuda
3,0.790766,0.780924,0.884164,0.758455,42.742,12.857,cuda
4,0.640501,0.818403,0.886409,0.761188,44.107,12.667,cuda
5,0.523170,0.846865,0.919734,0.760673,43.176,11.479,cuda
6,0.438826,0.868937,0.937539,0.762653,44.251,11.638,cuda
7,0.374736,0.888264,0.948409,0.761822,45.484,13.545,cuda
8,0.326766,0.899063,0.991501,0.761663,44.272,13.574,cuda
9,0.280438,0.912066,1.048777,0.756950,41.454,12.436,cuda
10,0.254490,0.919987,1.044153,0.759287,43.734,12.099,cuda
11,0.236119,0.926086,1.079061,0.763287,43.869,11.912,cuda
12,0.218738,0.930693,1.143516,0.754099,43.087,12.600,cuda
13,0.198849,0.937545,1.126251,0.759208,42.885,13.898,cuda
14,0.183472,0.941980,1.099871,0.765386,41.868,12.609,cuda
15,0.172073,0.944779,1.174060,0.757465,42.479,11.544,cuda
16,0.168496,0.946007,1.175903,0.761426,44.268,12.796,cuda
17,0.152664,0.951314,1.230303,0.753267,41.670,12.327,cuda
18,0.153525,0.951261,1.205117,0.760040,41.335,12.274,cuda
19,0.141865,0.954640,1.235833,0.760594,44.188,11.609,cuda
20,0.131429,0.956937,1.229888,0.760000,43.670,12.551,cuda
