epoch,train_loss,train_acc,val_loss,val_acc,train_time_s,val_time_s,device
1,1.756249,0.567023,0.902665,0.753663,76.722,14.418,cuda
2,0.826424,0.779815,0.786568,0.781584,43.838,11.677,cuda
3,0.497232,0.863776,0.771108,0.789980,44.664,12.464,cuda
4,0.297431,0.917993,0.828539,0.781188,43.842,12.459,cuda
5,0.198599,0.943393,0.892378,0.778772,43.610,12.498,cuda
6,0.153378,0.954759,0.931584,0.775010,43.970,11.836,cuda
7,0.131811,0.960607,0.979634,0.772871,44.115,12.018,cuda
8,0.120071,0.963551,1.009637,0.772436,44.155,12.462,cuda
9,0.107600,0.966561,1.021837,0.776713,43.821,12.686,cuda
10,0.092046,0.971182,1.052018,0.773228,43.240,12.425,cuda
11,0.094043,0.970812,1.089343,0.771089,44.848,11.654,cuda
12,0.090003,0.971987,1.064706,0.778337,44.908,11.971,cuda
13,0.082975,0.973835,1.097197,0.771802,44.723,12.437,cuda
14,0.080802,0.974759,1.074406,0.780713,43.397,12.640,cuda
15,0.077028,0.975116,1.082781,0.775802,43.148,12.654,cuda
16,0.072305,0.976673,1.105545,0.777901,43.572,11.927,cuda
17,0.068494,0.978271,1.139597,0.775485,44.790,11.788,cuda
18,0.070929,0.977452,1.144604,0.775248,44.017,12.978,cuda
19,0.065002,0.979129,1.147892,0.774337,43.186,12.565,cuda
20,0.064936,0.979406,1.144470,0.775644,43.850,12.523,cuda
