epoch,train_loss,train_acc,val_loss,val_acc,train_time_s,val_time_s,device
1,2.642077,0.537558,1.953634,0.750931,71.403,10.150,cuda
2,2.059823,0.715300,1.821248,0.791010,40.795,7.332,cuda
3,1.907450,0.764304,1.764100,0.807525,40.880,7.750,cuda
4,1.802795,0.797584,1.739700,0.814059,40.732,7.169,cuda
5,1.731092,0.820132,1.719018,0.819802,40.785,7.704,cuda
6,1.671527,0.840752,1.712630,0.824475,40.340,7.830,cuda
7,1.622160,0.859129,1.706693,0.823010,40.851,7.827,cuda
8,1.579480,0.874429,1.700451,0.824158,40.130,7.730,cuda
9,1.544552,0.885993,1.705170,0.825188,40.966,7.862,cuda
10,1.514494,0.897241,1.687566,0.828515,40.253,7.702,cuda
11,1.490183,0.905624,1.684019,0.831168,40.865,7.825,cuda
12,1.466283,0.914970,1.693939,0.827683,40.025,7.980,cuda
13,1.446435,0.920898,1.688828,0.828317,41.306,8.123,cuda
14,1.429599,0.926772,1.671022,0.828594,40.402,8.184,cuda
15,1.416102,0.931485,1.682795,0.827446,41.014,7.914,cuda
16,1.400574,0.935380,1.673942,0.830693,41.106,8.292,cuda
17,1.393364,0.938653,1.682670,0.828238,41.459,7.529,cuda
18,1.380413,0.943076,1.676576,0.831802,41.111,7.794,cuda
19,1.370306,0.945729,1.676339,0.829505,40.774,8.300,cuda
20,1.364020,0.946944,1.673052,0.832950,40.959,7.864,cuda
